Text,Language
印度是一个国家, Chinese
 拥有丰富的文化。, Chinese
印度文化指的是, Chinese
 少数独特文化的集合。, Chinese
 印度文化包括, Chinese
 服装、节日、语言、, Chinese
宗教、音乐、舞蹈、建筑、, Chinese
 印度的美食和艺术。, Chinese
最值得注意的是，, Chinese
印度文化一直, Chinese
受几个外国的影响, Chinese
贯穿其整个历史的文化。, Chinese
 还有，历史, Chinese
印度的文化, Chinese
是几百万, Chinese
列尼亚老。, Chinese
首先，, Chinese
印度起源的宗教是印度教，, Chinese
 佛教、耆那教和锡克教。, Chinese
 所有这些宗教, Chinese
是基于业力和佛法。, Chinese
此外，这四个是, Chinese
称为印度宗教。, Chinese
 印度宗教是主要的, Chinese
 世界宗教类别, Chinese
 与亚伯拉罕宗教。, Chinese
此外，许多外国宗教, Chinese
也出现在印度。, Chinese
这些外国宗教, Chinese
包括亚伯拉罕宗教。, Chinese
 印度的亚伯拉罕宗教, Chinese
 肯定是犹太教，, Chinese
 基督教，伊斯兰教。, Chinese
 除了亚伯拉罕宗教，, Chinese
琐罗亚斯德教和巴哈伊信仰是, Chinese
其他外国宗教, Chinese
 存在于印度。, Chinese
 因此，存在, Chinese
 产生了如此多的不同宗教, Chinese
 宽容和, Chinese
 印度文化中的世俗主义。, Chinese
联合家庭制度是, Chinese
 印度文化的盛行制度。, Chinese
最值得一提的是家庭成员, Chinese
 由父母、孩子组成，, Chinese
子女的配偶、子女。, Chinese
 所有这些家庭, Chinese
成员住在一起。, Chinese
 此外，最年长的, Chinese
 男性成员是一家之主。, Chinese
印度庆祝一个巨大的, Chinese
 节日的数量。, Chinese
 这些节日非常丰富, Chinese
 由于多宗教和, Chinese
 多元文化的印度社会。, Chinese
 印度人非常重视节日。, Chinese
最重要的是，整个国家, Chinese
参加庆祝活动, Chinese
 不管差异如何。, Chinese
传统印度美食、艺术、, Chinese
 音乐、运动、服装、, Chinese
 和架构差异很大, Chinese
 跨越不同的地区。, Chinese
 这些组件受到影响, Chinese
 受各种因素影响。, Chinese
 最重要的是，这些因素是, Chinese
 地理、气候、文化、, Chinese
 和农村/城市环境。, Chinese
印度文化一直是一种灵感, Chinese
 对许多作家来说。, Chinese
 印度当然是一个象征, Chinese
世界各地的团结。, Chinese
 印度文化当然非常复杂。, Chinese
 此外，, Chinese
印度身份的概念, Chinese
 带来一定的困难。, Chinese
 然而，尽管如此，一个典型的, Chinese
 印度文化确实存在。, Chinese
 这个典型的创造, Chinese
印度文化源于一些, Chinese
内力。, Chinese
 最重要的是，这些力量, Chinese
是一部健壮的宪法，, Chinese
普遍的成人专营权，世俗的, Chinese
 政策、灵活的联邦结构等。, Chinese
印度文化反映了, Chinese
 信仰、社会结构、, Chinese
 和宗教倾向, Chinese
 印度人民。, Chinese
印度是一个多元文化的国家, Chinese
 每个地区都有, Chinese
自己独特的文化，, Chinese
他那个时代最伟大的战士。, Chinese
 一个创新的军事战术家, Chinese
和一个干练的管理员，, Chinese
 他被认为是勇敢的战士。, Chinese
 他拥有的伟大品质, Chinese
作为领袖和国王帮助他建立了, Chinese
马拉地帝国变成了一个强大而庞大的力量。, Chinese
Shivaji Bhonsle 出生于, Chinese
 Shahaji Bhonsle 王室。, Chinese
他是天生的领导者，去, Chinese
在建立, Chinese
 马拉地帝国那个, Chinese
 甚至吓坏了强大的莫卧儿王朝。, Chinese
1627 年 2 月 16 日出生于 Shivneri，, Chinese
Shivaji 是 Shahji 的骄傲儿子。, Chinese
 这篇 Shivaji Maharaj 文章, Chinese
 用英语告诉你荣耀, Chinese
 和人民国王的勇气。, Chinese
Shivaji 的母亲 Jijabai 是, Chinese
个性也很强。, Chinese
 她贤惠并给予, Chinese
适当的教育, Chinese
 她的儿子让他无所畏惧。, Chinese
 他从小听着, Chinese
 的勇气和荣耀, Chinese
 罗摩衍那和摩诃婆罗多。, Chinese
他也遵从教义, Chinese
这两部史诗，但也吸收了, Chinese
强大的弹性功能, Chinese
一个理想的印度教徒的性格。, Chinese
 他从未学会鞠躬, Chinese
下降到任何力量。, Chinese
成就将展开。, Chinese
对于生活中的人们, Chinese
 被莫卧儿帝国毁灭，, Chinese
 贾特拉帕蒂·希瓦吉·马哈拉吉 (Chhatrapati Shivaji Maharaj) 的诞生, Chinese
 是个好兆头。, Chinese
 在艰难困苦中, Chinese
莫卧儿统治时期，他作为一个, Chinese
为人民带来希望的曙光。, Chinese
 马哈拉吉出生于 2 月 18 日, Chinese
根据儒略历 1630, Chinese
 和 Falgun Krishna, Chinese
 特里提亚 (Falgun Krishna Tritiya), Chinese
 根据印度历, Chinese
 在 Junnar 市的 Shivneri 堡垒，, Chinese
 靠近浦那区，到沙哈吉, Chinese
Bhosale 和 Jijabai Bhosale。, Chinese
我们提供了一些信息, Chinese
 关于 Shivaji Maharaj 的生日, Chinese
 在本文末尾。, Chinese
在他的童年时期，他的母亲, Chinese
 Jijamata 称他为“Shivba”。, Chinese
 他为国王服务, Chinese
