"Text","Language",,
"Hverdagen","Danish ",,
"hvorpå mennesker typisk handler","Danish ",,
" Hverdagen kan beskrives som hverdagsagtig","Danish ",,
"  rutinemæssig","Danish ",,
"Menneskelig dagtid betyder","Danish ",,
"mennesker sover i det mindste ","Danish ",,
"en del af natten og er aktive om dagen.","Danish ",,
"De fleste spiser to eller tre ","Danish ",,
"måltider på en dag.","Danish ",,
"Arbejdstid (bortset fra skifteholdsarbejde) ","Danish ",,
"involverer for det meste en daglig tidsplan","Danish ",,
"begyndende om morgenen. Dette producerer de ","Danish ",,
"daglige myldretider","Danish ",,
"oplever","Danish ",,
"af radiosendere. Aften er ofte fritid.","Danish ",,
" At bade hver dag er en skik for mange.","Danish ",,
"Ud over disse brede ligheder varierer","Danish ",,
"livsstilen","Danish ",,
"bruger deres dage forskelligt.","Danish ",,
" For eksempel adskiller nomadelivet ","Danish ",,
" sig fra stillesiddende","Danish ",,
" stillesiddende lever byfolk anderledes end ","Danish ",,
" folk på landet. Forskelle i de riges og de ","Danish ",,
" fattiges liv eller mellem arbejdere og ","Danish ",,
" intellektuelle kan gå ud over deres arbejdstid. ","Danish ",,
" Børn og voksne varierer også i","Danish ",,
" Hverdagslivet er et nøglebegreb i ","Danish ",,
" kulturvidenskab og er et specialiseret ","Danish ",,
" emne inden for sociologi. Nogle hævder","Danish ",,
" at forfattere og kunstnere i det 19. århundrede","Danish ",,
"  motiveret af kapitalismen og industrialismens ","Danish ",,
"  nedbrydende virkninger på menneskets eksistens","Danish ",,
"   og opfattelse","Danish ",,
"   selvrefleksion og fremstillingen af ​​","Danish ",,
"   hverdagslivet repræsenteret i deres ","Danish ",,
"   forfatterskab og kunst i en mærkbar ","Danish ",,
"   højere grad end tidligere. værker","Danish ",,
"   for eksempel renæssancelitteraturens","Danish ",,
"    interesse for hagiografi og politik.","Danish ",,
"    [1] Andre teoretikere bestrider dette ","Danish ",,
"    argument baseret på en lang historie med ","Danish ",,
"    skrifter om dagligdagen","Danish ",,
"     værker fra det antikke Grækenland","Danish ",,
"   middelalderkristendommen og oplysningstiden.[2][3]","Danish ",,
"I studiet af hverdagslivet har køn været ","Danish ",,
"en vigtig faktor i dens opfattelser.","Danish ",,
" Nogle teoretikere betragter kvinder ","Danish ",,
" som de vigtigste repræsentanter og ofre for hverdagen.[2]","Danish ",,
"Konnotationen af ​​hverdagslivet er ofte ","Danish ",,
"negativ og er tydeligt adskilt fra ","Danish ",,
"usædvanlige øjeblikke ved sin mangel","Danish ",,
" på skelnen og differentiering","Danish ",,
" sidste ende defineret som det væsentlige","Danish ",,
" givet for givet kontinuum af verdslig aktivitet","Danish ",,
" der skitserer strejftog i mere esoteriske ","Danish ",,
" oplevelser. Det er den ikke-omsættelige","Danish ",,
"  virkelighed","Danish ",,
"  sociale grupperinger uden forskelsbehandling ","Danish ",,
"  og er et uundgåeligt grundlag","Danish ",,
"   menneskelig bestræbelse eksisterer for.[1]","Danish ",,
"En stor del af hverdagslivet er automatisk","Danish ",,
" idet det er drevet af aktuelle miljømæssige ","Danish ",,
" egenskaber som medieret af automatisk kognitiv ","Danish ",,
" bearbejdning af disse egenskaber","Danish ",,
"  form for mediering ved bevidste valg","Danish ",,
"  ifølge socialpsykolog John A. Bargh.[4] ","Danish ",,
"  Dagliglivet studeres også af sociologer","Danish ",,
"   for at undersøge","Danish ",,
"   organiseret og givet mening. ","Danish ",,
"   Et sociologisk tidsskrift kaldet ","Danish ",,
"   Journal of Mundane Behavior[5] ","Danish ",,
"   udgivet 2000 - 2004","Danish ",,
"    disse dagligdags handlinger.","Danish ",,
"    Den daglige underholdning bestod ","Danish ",,
"    engang primært i at fortælle historier","Danish ",,
"     om aftenen. Denne skik udviklede sig ","Danish ",,
"     til det antikke Grækenlands teater ","Danish ",,
"     og anden professionel underholdning.","Danish ",,
"   Læsning blev senere mindre en ","Danish ",,
"    mystisk specialitet for lærde","Danish ",,
"       og mere en fælles fornøjelse for ","Danish ",,
"       folk","Danish ",,
"       I løbet af det 20. århundrede ","Danish ",,
"       blev massemedier udbredt i rige ","Danish ",,
"  lande","Danish ",,
" skabte en daglig bedste sendetid","Danish ",,
"  til at forbruge fiktion og andre ","Danish ",,
"  professionelt producerede værker.","Danish ",,
"Forskellige medieformer tjener ","Danish ",,
"forskellige formål i forskellige ","Danish ",,
"individers hverdag – hvilket giver","Danish ",,
"folk mulighed for at træffe ","Danish ",,
"valg om hvilke medieformer – at","Danish ",,
" se fjernsyn","Danish ",,
" lytte til radio eller læse aviser","Danish ",,
"  eller magasiner – det hjælper mest ","Danish ",,
"  effektivt. dem til at udføre deres ","Danish ",,
"  opgaver.[6] Mange mennesker har ","Danish ",,
"  støt øget deres daglige brug af","Danish ",,
"   internettet i forhold til ","Danish ",,
"   alle andre medieformer.","Danish ",,
"Menneskers hverdag formes gennem ","Danish ",,
"sprog og kommunikation. De vælger","Danish ",,
"hvad de vil gøre med deres tid","Danish ",,
" baseret på meninger og idealer ","Danish ",,
" dannet gennem den diskurs","Danish ",,
"  for.[7] En stor del af den dialog","Danish ",,
"  mennesker udsættes for","Danish ",,
"  massemedierne","Danish ",,
"  faktor i","Danish ",,
"  erfaring.[8] Medierne bruger sproget ","Danish ",,
"  til at få indflydelse på ens hverdag","Danish ",,
"  hvad enten det er så lille som at hjælpe","Danish ",,
"   med at bestemme","Danish ",,
"   spise eller så stort som at ","Danish ",,
"   vælge en repræsentant i regeringen.","Danish ",,
"For at forbedre folks hverdag siger ","Danish ",,
"Phaedra Pezzullo","Danish ",,
"Institut for Kommunikation og Kultur","Danish ",,
" ved Indiana University Bloomington","Danish ",,
"  at folk bør søge at forstå den ","Danish ",,
"  retorik","Danish ",,
"  ændrer deres liv. Hun skriver","Danish ",,
"   at ""... retorik gør os i stand til ","Danish ",,
"   at skabe forbindelser... Det handler ","Danish ",,
"   om at forstå","Danish ",,
"   engagerer os i verden.""[9]","Danish ",,
"Aktiviteter i dagligdagen","Danish ",,
"Activities of daily living (ADL) er et ","Danish ",,
"udtryk","Danish ",,
" at henvise til daglige selvplejeaktiviteter","Danish ",,
"  inden for en persons bopæl","Danish ",,
"   eller begge dele. Sundhedsprofessionelle ","Danish ",,
"   refererer rutinemæssigt til evnen ","Danish ",,
"   eller manglende evne til at udføre ","Danish ",,
"   ADL'er som en måling af en persons ","Danish ",,
"   funktionelle status","Danish ",,
"    hensyn til mennesker med handicap","Danish ",,
"     og ældre.[10] ADL'er defineres","Danish ",,
"      som ""de ting","Danish ",,
"       spise os selv","Danish ",," "
"       pleje","Danish ",,
"       fritid.""[11] Evnen og i hvilken grad","Danish ",,
"        ældre kan udføre disse aktiviteter ","Danish ",,
"        er kl. fokus for gerontologi og","Danish ",,
"         forståelser af senere liv.[12]","Danish ",,
"Engelsk er et udbredt sprog over hele verden","Danish ",,
"folk bruger grundlæggende engelske ","Danish ",,
"talte sætninger hver dag. ","Danish ",,
