"Text","Language"
"Die Kultur Indiens bezieht sich auf","German"
" eine Sammlung kleinerer einzigartiger Kulturen.","German"
" Die Kultur Indiens umfasst","German"
" von Kleidung","German"
"Religionen","German"
" Essen und Kunst in Indien.","German"
"Am bemerkenswertesten","German"
"Indische Kultur war","German"
"von mehreren ausländischen beeinflusst","German"
"Kulturen im Laufe seiner Geschichte.","German"
" Auch die Geschichte","German"
"der indischen Kultur","German"
"ist mehrere Mio","German"
"lennie alt.","German"
"Erstens","German"
"Religionen indischen Ursprungs sind der Hinduismus","German"
" Buddhismus","German"
" All diese Religionen","German"
"basieren auf Karma und Dharma.","German"
"Darüber hinaus sind diese vier","German"
"als indische Religionen bezeichnet.","German"
" Indische Religionen sind ein Hauptfach","German"
" Kategorie der Weltreligionen entlang","German"
" mit abrahamitischen Religionen.","German"
"Auch viele fremde Religionen sind dabei","German"
"auch in Indien präsent.","German"
"Diese fremden Religionen","German"
"schließen abrahamitische Religionen ein.","German"
" Die abrahamitischen Religionen in Indien","German"
" sicherlich sind das Judentum","German"
" Christentum und Islam.","German"
" Neben den abrahamitischen Religionen","German"
"Zoroastrismus und Bahá'í-Glaube sind","German"
"die anderen fremden Religionen","German"
" die es in Indien gibt.","German"
" Folglich ist die Anwesenheit von","German"
" so viele verschiedene Religionen entstanden sind","German"
" zu Toleranz u","German"
" Säkularismus in der indischen Kultur.","German"
"Das gemeinsame Familiensystem ist das","German"
" vorherrschendes System der indischen Kultur.","German"
"Am bemerkenswertesten sind die Familienmitglieder","German"
" bestehen aus Eltern","German"
"Ehegatten der Kinder und Nachkommen.","German"
" Alle diese Familie","German"
"Mitglieder wohnen zusammen.","German"
" Außerdem der Älteste","German"
" Das männliche Mitglied ist das Familienoberhaupt.","German"
"Indien feiert ein riesiges","German"
" Zahl der Feste.","German"
" Diese Feste sind sehr vielfältig","German"
" aufgrund multireligiöser u","German"
" multikulturelle indische Gesellschaft.","German"
" Inder legen großen Wert auf festliche Anlässe.","German"
"Vor allem das ganze Land","German"
"schließt sich den Feierlichkeiten an","German"
" unabhängig von den Unterschieden.","German"
"Traditionelles indisches Essen","German"
" Musik","German"
" und Architektur sehr unterschiedlich","German"
" über verschiedene Regionen hinweg.","German"
" Diese Komponenten werden beeinflusst","German"
" durch verschiedene Faktoren.","German"
" Vor allem diese Faktoren sind","German"
" Geographie","German"
" und ländliche/städtische Umgebung.","German"
"Die indische Kultur war eine Inspiration","German"
" für viele Schriftsteller.","German"
" Indien ist sicherlich ein Symbol","German"
"der Einheit auf der ganzen Welt.","German"
" Die indische Kultur ist sicherlich sehr komplex.","German"
" Außerdem","German"
"Das Konzept der indischen Identität","German"
" bringt gewisse Schwierigkeiten mit sich.","German"
" Aber trotzdem ein typisches","German"
" Indische Kultur existiert.","German"
" Die Entstehung dieses typischen","German"
"Indische Kultur ergibt sich aus einigen","German"
"interne Kräfte.","German"
" Vor allem diese Kräfte","German"
"sind eine robuste Verfassung","German"
"universelles Franchise für Erwachsene","German"
" Politik","German"
"Die Kultur Indiens widerspiegelt","German"
" der Glaube","German"
