"Text","Language"
"Η Ινδία είναι μια χώρα που","Greek"
" υπερηφανεύεται για έναν πλούσιο πολιτισμό.","Greek"
"Ο πολιτισμός της Ινδίας αναφέρεται σε","Greek"
" μια συλλογή από δευτερεύοντες μοναδικούς πολιτισμούς.","Greek"
" Ο πολιτισμός της Ινδίας περιλαμβάνει","Greek"
" ενδυμάτων","Greek"
"θρησκείες","Greek"
" φαγητό και τέχνη στην Ινδία.","Greek"
"Το πιο αξιοσημείωτο","Greek"
"Η ινδική κουλτούρα ήταν","Greek"
"επηρεασμένος από αρκετές ξένες","Greek"
"πολιτισμούς σε όλη την ιστορία της.","Greek"
" Επίσης","Greek"
"του πολιτισμού της Ινδίας","Greek"
"είναι αρκετά εκατ","Greek"
"λεννια παλια.","Greek"
"Πρωτα απο ολα","Greek"
"Οι θρησκείες της Ινδικής καταγωγής είναι ο Ινδουισμός","Greek"
" Βουδισμός","Greek"
" Όλες αυτές οι θρησκείες","Greek"
"βασίζονται στο κάρμα και το ντάρμα.","Greek"
"Επιπλέον","Greek"
"ονομάζονται ινδικές θρησκείες.","Greek"
" Οι ινδικές θρησκείες είναι μείζονες","Greek"
" κατηγορία των παγκόσμιων θρησκειών μαζί","Greek"
" με τις Αβρααμικές θρησκείες.","Greek"
"Επίσης","Greek"
"υπάρχει και στην Ινδία.","Greek"
"Αυτές οι ξένες θρησκείες","Greek"
"περιλαμβάνουν τις αβρααμικές θρησκείες.","Greek"
" Οι Αβρααμικές θρησκείες στην Ινδία","Greek"
" σίγουρα είναι ο Ιουδαϊσμός","Greek"
" Χριστιανισμός και Ισλάμ.","Greek"
" Εκτός από τις Αβρααμικές θρησκείες","Greek"
"Ο Ζωροαστρισμός και η Μπαχάι Πίστη είναι","Greek"
"τις άλλες ξένες θρησκείες","Greek"
" που υπάρχουν στην Ινδία.","Greek"
" Κατά συνέπεια","Greek"
" τόσες πολλές διαφορετικές θρησκείες προκάλεσαν","Greek"
" στην ανοχή και","Greek"
" κοσμικότητα στον ινδικό πολιτισμό.","Greek"
"Το σύστημα της κοινής οικογένειας είναι το","Greek"
" κυρίαρχο σύστημα του ινδικού πολιτισμού.","Greek"
"Το πιο αξιοσημείωτο είναι τα μέλη της οικογένειας","Greek"
" αποτελείται από γονείς","Greek"
"τους συζύγους και τους απογόνους των παιδιών.","Greek"
" Όλες αυτές οι οικογένειες","Greek"
"τα μέλη ζουν μαζί.","Greek"
" Επιπλέον","Greek"
" αρσενικό μέλος είναι ο αρχηγός της οικογένειας.","Greek"
"Η Ινδία γιορτάζει ένα τεράστιο","Greek"
" αριθμός φεστιβάλ.","Greek"
" Αυτά τα φεστιβάλ είναι πολύ διαφορετικά","Greek"
" λόγω πολυθρησκείας και","Greek"
" πολυπολιτισμική ινδική κοινωνία.","Greek"
" Οι Ινδοί εκτιμούν πολύ τις εορταστικές περιστάσεις.","Greek"
"Πάνω απ' όλα όλη η χώρα","Greek"
"συμμετέχει στους εορτασμούς","Greek"
" ανεξάρτητα από τις διαφορές.","Greek"
"Παραδοσιακό ινδικό φαγητό","Greek"
" μουσική","Greek"
" και η αρχιτεκτονική ποικίλλει σημαντικά","Greek"
" σε διάφορες περιοχές.","Greek"
" Αυτά τα συστατικά επηρεάζονται","Greek"
" από διάφορους παράγοντες.","Greek"
" Πάνω από όλα","Greek"
" γεωγραφία","Greek"
" και αγροτικό/αστικό περιβάλλον.","Greek"
"Η ινδική κουλτούρα υπήρξε έμπνευση","Greek"
" σε πολλούς συγγραφείς.","Greek"
" Η Ινδία είναι σίγουρα ένα σύμβολο","Greek"
"της ενότητας σε όλο τον κόσμο.","Greek"
" Η ινδική κουλτούρα είναι σίγουρα πολύ περίπλοκη.","Greek"
" Επί πλέον","Greek"
"η αντίληψη της ινδικής ταυτότητας","Greek"
" δημιουργεί ορισμένες δυσκολίες.","Greek"
" Ωστόσο","Greek"
" Ο ινδικός πολιτισμός υπάρχει.","Greek"
" Η δημιουργία αυτού του τυπικού","Greek"
"Ο ινδικός πολιτισμός προκύπτει από κάποιους","Greek"
