"Text","Language",,
"ಭಾರತ ಅದೊಂದು ದೇಶ","Kannada",,
" ಶ್ರೀಮಂತ ಸಂಸ್ಕೃತಿಯ ಹೆಗ್ಗಳಿಕೆ.","Kannada",,
"ಭಾರತದ ಸಂಸ್ಕೃತಿ ಸೂಚಿಸುತ್ತದೆ","Kannada",,
" ಸಣ್ಣ ವಿಶಿಷ್ಟ ಸಂಸ್ಕೃತಿಗಳ ಸಂಗ್ರಹ.","Kannada",,
" ಭಾರತದ ಸಂಸ್ಕೃತಿ ಒಳಗೊಂಡಿದೆ","Kannada",,
" ಬಟ್ಟೆ","Kannada",,
"ಧರ್ಮಗಳು","Kannada",,
" ಭಾರತದಲ್ಲಿ ಆಹಾರ ಮತ್ತು ಕಲೆ.","Kannada",,
"ಅತ್ಯಂತ ಗಮನಾರ್ಹ","Kannada",,
"ಭಾರತೀಯ ಸಂಸ್ಕೃತಿ ಬಂದಿದೆ","Kannada",,
"ಹಲವಾರು ವಿದೇಶಿಗಳಿಂದ ಪ್ರಭಾವಿತವಾಗಿದೆ","Kannada",,
"ಅದರ ಇತಿಹಾಸದುದ್ದಕ್ಕೂ ಸಂಸ್ಕೃತಿಗಳು.","Kannada",,
" ಅಲ್ಲದೆ","Kannada",,
"ಭಾರತದ ಸಂಸ್ಕೃತಿಯ","Kannada",,
"ಹಲವಾರು ಮಿಲಿ ಆಗಿದೆ","Kannada",,
"ಲೆನಿಯಾ ಹಳೆಯದು.","Kannada",,
"ಮೊದಲನೆಯದಾಗಿ","Kannada",,
"ಭಾರತೀಯ ಮೂಲದ ಧರ್ಮಗಳು ಹಿಂದೂ ಧರ್ಮ","Kannada",,
" ಬೌದ್ಧ","Kannada",,
" ಈ ಎಲ್ಲಾ ಧರ್ಮಗಳು","Kannada",,
"ಕರ್ಮ ಮತ್ತು ಧರ್ಮವನ್ನು ಆಧರಿಸಿವೆ.","Kannada",,
"ಇದಲ್ಲದೆ","Kannada",,
"ಭಾರತೀಯ ಧರ್ಮಗಳು ಎಂದು ಕರೆಯಲಾಗುತ್ತದೆ.","Kannada",,
" ಭಾರತೀಯ ಧರ್ಮಗಳು ಪ್ರಮುಖವಾಗಿವೆ","Kannada",,
" ವಿಶ್ವ ಧರ್ಮಗಳ ವರ್ಗ","Kannada",,
" ಅಬ್ರಹಾಮಿಕ್ ಧರ್ಮಗಳೊಂದಿಗೆ.","Kannada",,
"ಅಲ್ಲದೆ","Kannada",,
"ಭಾರತದಲ್ಲಿಯೂ ಪ್ರಸ್ತುತ.","Kannada",,
"ಈ ವಿದೇಶಿ ಧರ್ಮಗಳು","Kannada",,
"ಅಬ್ರಹಾಮಿಕ್ ಧರ್ಮಗಳು ಸೇರಿವೆ.","Kannada",,
" ಭಾರತದಲ್ಲಿ ಅಬ್ರಹಾಮಿಕ್ ಧರ್ಮಗಳು","Kannada",,
" ಖಂಡಿತವಾಗಿಯೂ ಜುದಾಯಿಸಂ","Kannada",,
" ಕ್ರಿಶ್ಚಿಯನ್ ಧರ್ಮ ಮತ್ತು ಇಸ್ಲಾಂ ಧರ್ಮ.","Kannada",,
" ಅಬ್ರಹಾಮಿಕ್ ಧರ್ಮಗಳ ಜೊತೆಗೆ","Kannada",,
"ಝೋರಾಸ್ಟ್ರಿಯನ್ ಧರ್ಮ ಮತ್ತು ಬಹಾಯಿ ನಂಬಿಕೆ","Kannada",,
"ಇತರ ವಿದೇಶಿ ಧರ್ಮಗಳು","Kannada",,
" ಭಾರತದಲ್ಲಿ ಅಸ್ತಿತ್ವದಲ್ಲಿದೆ.","Kannada",,
" ಪರಿಣಾಮವಾಗಿ","Kannada",,
" ಅನೇಕ ವೈವಿಧ್ಯಮಯ ಧರ್ಮಗಳು ಹುಟ್ಟಿಕೊಂಡಿವೆ","Kannada",,
" ಸಹಿಷ್ಣುತೆಗೆ ಮತ್ತು","Kannada",,
" ಭಾರತೀಯ ಸಂಸ್ಕೃತಿಯಲ್ಲಿ ಜಾತ್ಯತೀತತೆ.","Kannada",,
"ಅವಿಭಕ್ತ ಕುಟುಂಬ ವ್ಯವಸ್ಥೆಯು ದಿ","Kannada",,
" ಭಾರತೀಯ ಸಂಸ್ಕೃತಿಯ ಚಾಲ್ತಿಯಲ್ಲಿರುವ ವ್ಯವಸ್ಥೆ.","Kannada",,
"ಅತ್ಯಂತ ಗಮನಾರ್ಹ","Kannada",,
" ಪೋಷಕರು","Kannada",,
"ಮಕ್ಕಳ ಸಂಗಾತಿಗಳು","Kannada",,
" ಈ ಎಲ್ಲಾ ಕುಟುಂಬ","Kannada",,
"ಸದಸ್ಯರು ಒಟ್ಟಿಗೆ ವಾಸಿಸುತ್ತಾರೆ.","Kannada",,
" ಇದಲ್ಲದೆ","Kannada",,
" ಪುರುಷ ಸದಸ್ಯ ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ.","Kannada",,
"ಭಾರತವು ಅದ್ಧೂರಿಯಾಗಿ ಆಚರಿಸುತ್ತದೆ","Kannada",,
" ಹಬ್ಬಗಳ ಸಂಖ್ಯೆ.","Kannada",,
" ಈ ಹಬ್ಬಗಳು ಬಹಳ ವೈವಿಧ್ಯಮಯವಾಗಿವೆ","Kannada",,
" ಬಹು-ಧರ್ಮದ ಕಾರಣದಿಂದಾಗಿ ಮತ್ತು","Kannada",,
" ಬಹು-ಸಾಂಸ್ಕೃತಿಕ ಭಾರತೀಯ ಸಮಾಜ.","Kannada",,
" ಭಾರತೀಯರು ಹಬ್ಬದ ಸಂದರ್ಭಗಳನ್ನು ಬಹಳವಾಗಿ ಗೌರವಿಸುತ್ತಾರೆ.","Kannada",,
"ಎಲ್ಲಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿ ಇಡೀ ದೇಶ","Kannada",,
"ಆಚರಣೆಗಳಲ್ಲಿ ಸೇರುತ್ತದೆ","Kannada",,
" ವ್ಯತ್ಯಾಸಗಳನ್ನು ಲೆಕ್ಕಿಸದೆ.","Kannada",,
"ಸಾಂಪ್ರದಾಯಿಕ ಭಾರತೀಯ ಆಹಾರ","Kannada",,
" ಸಂಗೀತ","Kannada",,
