"Text","Language"
"Индия е страна","Bulgarian"
" може да се похвали с богата култура.","Bulgarian"
"Културата на Индия се отнася за","Bulgarian"
" колекция от малки уникални култури.","Bulgarian"
" Културата на Индия включва","Bulgarian"
" на облекло","Bulgarian"
"религии","Bulgarian"
" храна и изкуство в Индия.","Bulgarian"
"Най-забележително","Bulgarian"
"Индийската култура е била","Bulgarian"
"повлиян от няколко чужди","Bulgarian"
"култури през цялата си история.","Bulgarian"
" Също така","Bulgarian"
"на културата на Индия","Bulgarian"
"е няколко милиона","Bulgarian"
"лениа стар.","Bulgarian"
"Преди всичко","Bulgarian"
"Индийските религии са индуизъм","Bulgarian"
" будизъм","Bulgarian"
" Всички тези религии","Bulgarian"
"се основават на карма и дхарма.","Bulgarian"
"Освен това тези четири са","Bulgarian"
"наричани индийски религии.","Bulgarian"
" Индийските религии са основни","Bulgarian"
" категория световни религии заедно","Bulgarian"
" с авраамическите религии.","Bulgarian"
"Също така","Bulgarian"
"присъства и в Индия.","Bulgarian"
"Тези чужди религии","Bulgarian"
"включват авраамическите религии.","Bulgarian"
" Авраамическите религии в Индия","Bulgarian"
" със сигурност са юдаизъм","Bulgarian"
" Християнство и ислям.","Bulgarian"
" Освен авраамическите религии","Bulgarian"
"Зороастризмът и Бахайската вяра са","Bulgarian"
"другите чужди религии","Bulgarian"
" които съществуват в Индия.","Bulgarian"
" Следователно наличието на","Bulgarian"
" толкова много различни религии са породили","Bulgarian"
" към толерантност и","Bulgarian"
" секуларизъм в индийската култура.","Bulgarian"
"Съвместната семейна система е","Bulgarian"
" преобладаващата система на индийската култура.","Bulgarian"
"Най-забележими са членовете на семейството","Bulgarian"
" се състои от родители","Bulgarian"
"съпрузи на деца и потомство.","Bulgarian"
" Всички тези семейства","Bulgarian"
"членове живеят заедно.","Bulgarian"
" Освен това най-големият","Bulgarian"
" мъжкият член е глава на семейството.","Bulgarian"
"Индия празнува огромен","Bulgarian"
" брой фестивали.","Bulgarian"
" Тези фестивали са много разнообразни","Bulgarian"
" поради многорелигиозни и","Bulgarian"
" мултикултурно индийско общество.","Bulgarian"
" Индийците много ценят празничните поводи.","Bulgarian"
"Преди всичко цялата страна","Bulgarian"
"се включва в честванията","Bulgarian"
